"STATION","NAME","DATE","EMSD","EMSN","EMXP","PRCP","SNOW","TAVG","TMAX","TMIN"
"US1NJHD0002","KEARNY 1.7 NW, NJ US","2016-01",,,"1.58","2.87",,,,
"US1NJHD0002","KEARNY 1.7 NW, NJ US","2016-02",,,"1.15","2.65",,,,
"US1NJHD0002","KEARNY 1.7 NW, NJ US","2016-03",,,"0.34","1.30",,,,
"US1NJHD0002","KEARNY 1.7 NW, NJ US","2016-04",,,"0.42","1.63",,,,
"US1NJHD0002","KEARNY 1.7 NW, NJ US","2016-05",,,"1.11","3.42",,,,
"US1NJMS0058","MORRISTOWN 1.2 ESE, NJ US","2015-08",,,"1.24","3.00",,,,
"US1NJMS0058","MORRISTOWN 1.2 ESE, NJ US","2015-09",,"0.0","1.92","3.89","0.0",,,
"US1NJMS0058","MORRISTOWN 1.2 ESE, NJ US","2015-10",,,"2.19","3.94",,,,
"US1NJMS0058","MORRISTOWN 1.2 ESE, NJ US","2015-11",,,"1.53","2.19",,,,
"US1NJHD0001","HARRISON 0.3 N, NJ US","2015-07",,,"1.08","2.40",,,,
"US1NJHD0001","HARRISON 0.3 N, NJ US","2015-08",,,"0.71","1.44",,,,
"US1NJHD0001","HARRISON 0.3 N, NJ US","2015-09",,,"1.33","1.92",,,,
"US1NJHD0001","HARRISON 0.3 N, NJ US","2015-10",,,"1.81","4.08",,,,
"US1NJHD0001","HARRISON 0.3 N, NJ US","2015-11",,,"1.09","1.67",,,,
"US1NJHD0001","HARRISON 0.3 N, NJ US","2015-12",,,"1.89","5.15",,,,
"US1NJHD0001","HARRISON 0.3 N, NJ US","2016-01",,,"1.50","2.34",,,,
"US1NJHD0001","HARRISON 0.3 N, NJ US","2016-02",,,"0.97","4.07",,,,
"US1NJHD0001","HARRISON 0.3 N, NJ US","2016-03",,,"0.32","1.32",,,,
"US1NJHD0001","HARRISON 0.3 N, NJ US","2016-04",,,"0.51","1.74",,,,
"US1NJHD0001","HARRISON 0.3 N, NJ US","2016-05",,,"1.25","3.11",,,,
"US1NJMS0059","MADISON 0.8 WSW, NJ US","2015-07",,,"0.65","1.89",,,,
"US1NJMS0059","MADISON 0.8 WSW, NJ US","2015-08",,,"0.83","2.10",,,,
"US1NJMS0059","MADISON 0.8 WSW, NJ US","2015-09",,,"2.36","4.59",,,,
"US1NJMS0059","MADISON 0.8 WSW, NJ US","2015-10",,,"2.12","4.20",,,,
"US1NJMS0059","MADISON 0.8 WSW, NJ US","2015-11",,,"1.50","2.24",,,,
"US1NJMS0059","MADISON 0.8 WSW, NJ US","2015-12",,,"1.23","4.61",,,,
