"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","YEAR","MONTH",
4264.00,198.00,"9E",20363,"Endeavor Air Inc.",15096,1509602,35096,"SYR","Syracuse, NY","NY",12953,1295302,31703,"LGA","New York, NY","NY",2016,11,
4264.00,1096.00,"F9",20436,"Frontier Airlines Inc.",12953,1295302,31703,"LGA","New York, NY","NY",13303,1330303,32467,"MIA","Miami, FL","FL",2016,2,
4264.00,1521.00,"AA",19805,"American Airlines Inc.",10423,1042302,30423,"AUS","Austin, TX","TX",12478,1247803,31703,"JFK","New York, NY","NY",2016,3,
4265.00,1623.00,"AA",19805,"American Airlines Inc.",15024,1502403,34945,"STT","Charlotte Amalie, VI","VI",12478,1247803,31703,"JFK","New York, NY","NY",2016,3,
4266.00,199.00,"B6",20409,"JetBlue Airways",10154,1015403,30154,"ACK","Nantucket, MA","MA",12478,1247803,31703,"JFK","New York, NY","NY",2016,6,
4266.00,1389.00,"S5",20448,"Shuttle America Corp.",12953,1295302,31703,"LGA","New York, NY","NY",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",2016,3,
4267.00,241.00,"9E",20363,"Endeavor Air Inc.",10792,1079204,30792,"BUF","Buffalo, NY","NY",11433,1143302,31295,"DTW","Detroit, MI","MI",2016,7,
4269.00,762.00,"F9",20436,"Frontier Airlines Inc.",10397,1039705,30397,"ATL","Atlanta, GA","GA",12953,1295302,31703,"LGA","New York, NY","NY",2016,5,
4272.00,1391.00,"AA",19805,"American Airlines Inc.",12478,1247803,31703,"JFK","New York, NY","NY",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",2016,2,
4273.00,1011.00,"B6",20409,"JetBlue Airways",10792,1079204,30792,"BUF","Buffalo, NY","NY",13204,1320402,31454,"MCO","Orlando, FL","FL",2016,8,
4274.00,431.00,"YX",20452,"Republic Airlines",12953,1295302,31703,"LGA","New York, NY","NY",14492,1449202,34492,"RDU","Raleigh/Durham, NC","NC",2016,4,
4274.00,1166.00,"WN",19393,"Southwest Airlines Co.",10792,1079204,30792,"BUF","Buffalo, NY","NY",11697,1169704,32467,"FLL","Fort Lauderdale, FL","FL",2016,7,
4277.00,1033.00,"WN",19393,"Southwest Airlines Co.",14576,1457604,34576,"ROC","Rochester, NY","NY",13204,1320402,31454,"MCO","Orlando, FL","FL",2016,7,
4280.00,2153.00,"B6",20409,"JetBlue Airways",14107,1410702,30466,"PHX","Phoenix, AZ","AZ",12478,1247803,31703,"JFK","New York, NY","NY",2016,3,
